2017-08-15 22:51:39.549 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.imooc.sell.dao.OrderDetailDaoTest], using SpringBootContextLoader
2017-08-15 22:51:39.573 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.imooc.sell.dao.OrderDetailDaoTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-08-15 22:51:39.575 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.imooc.sell.dao.OrderDetailDaoTest]: OrderDetailDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-08-15 22:51:39.738 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.imooc.sell.SellApplication for test class com.imooc.sell.dao.OrderDetailDaoTest
2017-08-15 22:51:39.750 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-08-15 22:51:39.779 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@353d0772, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2667f029, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@67a20f67, org.springframework.test.context.support.DirtiesContextTestExecutionListener@57c758ac, org.springframework.test.context.transaction.TransactionalTestExecutionListener@a9cd3b1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@13e39c73, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@64cd705f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@9225652, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@654f0d9c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6a400542, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6580cfdd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7e0b85f9]
2017-08-15 22:51:39.782 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.imooc.sell.dao.OrderMasterDaoTest], using SpringBootContextLoader
2017-08-15 22:51:39.783 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.imooc.sell.dao.OrderMasterDaoTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-08-15 22:51:39.784 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.imooc.sell.dao.OrderMasterDaoTest]: OrderMasterDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-08-15 22:51:39.793 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.imooc.sell.SellApplication for test class com.imooc.sell.dao.OrderMasterDaoTest
2017-08-15 22:51:39.800 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
